"Administrador","Anden Derecho","Anden Izquierdo","Carretera","Poste de Referencia","Distancia","Fecha de Construcción","Fecha de Inspección","Luces","Luz Maxima","Luz Minima","Luz Total","Material","Nombre","Sección Longitudinal","Sección Transversal","Tablero","Via","point"
"INVIAS","1","1","Coveñas - Sabaneta","5","291","2.015","2012.05.07","1","10.7","10.7","10.7","20","Mauey (red expansion)","10","10","5.1","90SC02","POINT (-75.683496101171 9.35533220894315)"
"INVIAS","1","1","Coveñas - Sabaneta","4","421","2.015","2012.05.08","1","15.4","15.4","15.4","20","Reparo (Red expansion)","10","10","5.05","90SC02","POINT (-75.6825028433732 9.36282532333377)"
"INVIAS","1","1","Coveñas - Sabaneta","3","40","2.015","2012.05.08","1","19.5","19.5","19.5","20","El Sol","10","14","10.9","90SC02","POINT (-75.6809025051464 9.37596450244875)"
"ANI","0.8","0.8","Variante de Cartagena y accesos","4","855","2.015","2012.05.22","1","0","0","15","20","Puente El Rodeo","21","14","12.1","90BLC","POINT (-75.4536679183021 10.3711512843811)"
"ANI","1.62","0","Variante de Cartagena y accesos","4","855","2.015","2012.05.22","1","0","0","15","30","Puente El Rodeo","21","14","12.47","90BLC","POINT (-75.4536679183021 10.3711512843811)"
"ANI","0.8","0.8","Variante de Cartagena y accesos","4","858","2.015","2012.05.22","1","14.4","14.4","14.4","20","MATUTE 2","20","14","12.1","90BLC","POINT (-75.4536519211197 10.3711732915359)"
"ANI","1.62","0","Variante de Cartagena y accesos","4","858","2.015","2012.05.22","1","14.7","14.7","14.7","20","MATUTE 2","20","14","12.47","90BLC","POINT (-75.4536519211197 10.3711732915359)"
"ANI","0.8","0.8","Variante de Cartagena y accesos","4","781","2.015","2012.05.22","1","20","20","20","20","MATUTE 1","20","14","12.1","90BLC","POINT (-75.4540607372969 10.3706073026147)"
"ANI","1.62","0","Variante de Cartagena y accesos","4","781","2.015","2012.05.22","1","20","20","20","20","MATUTE 1","20","14","12.47","90BLC","POINT (-75.4540607372969 10.3706073026147)"
"ANI","0.85","0.85","Variante de Gambote","4","714","1.998","2012.05.22","1","35.5","35.5","35.5","32","Jardines","10","14","13.4","90BLB","POINT (-75.3451523086338 10.1938399216754)"
"ANI","0","0","Variante de Gambote","26","300","2.015","2012.04.19","1","0","0","19.2","20","Abocol","21","14","11.4","90BLB","POINT (-75.4823311247038 10.3093972188848)"
"ANI","0","2.3","Variante de Gambote","28","55","2.015","2012.04.19","1","0","0","25.66","30","Puente Membrillal","21","14","12","90BLB","POINT (-75.4825156963519 10.3247072058823)"
"ANI","0","2.3","Variante de Gambote","23","965","2.015","2012.04.19","1","0","0","20.6","20","Puente Payares","20","14","15","90BLB","POINT (-75.4783145932962 10.2891572527204)"
"ANI","0","2.3","Variante de Gambote","20","736","2.015","2012.04.19","1","0","0","20.5","20","Puente Moroti","20","14","12","90BLB","POINT (-75.4642586329076 10.2675326611144)"
"ANI","0","2.3","Variante de Gambote","11","520","2.015","2012.04.19","1","0","0","31.35","30","Puente Arroyo Grande","21","14","12","90BLB","POINT (-75.4011309739357 10.2177417863297)"
"ANI","2.3","0","Variante de Gambote","8","628","2.015","2012.04.19","1","0","0","20.5","20","Puente Caiman","20","14","12","90BLB","POINT (-75.3784912344064 10.2042947337885)"
"ANI","0.86","0.86","Variante de Gambote","24","55","1.998","2012.04.19","1","10.24","10.24","10.24","20","Buenos Aires","10","14","12.1","90BLB","POINT (-75.4783658549587 10.2899340837402)"
"ANI","0.85","0.85","Variante de Gambote","24","25","1.998","2012.04.19","1","20.6","20.6","60","32","Puente Payares","10","14","12.7","90BLB","POINT (-75.4783476353501 10.2896635428727)"
"ANI","0.85","0.85","Variante de Gambote","23","169","1.998","2012.04.19","1","20.6","20.6","20.6","32","Arroyo legua","10","14","12.7","90BLB","POINT (-75.4763501196757 10.2825149171903)"
"ANI","0.87","0.87","Variante de Gambote","20","727","1.998","2012.04.18","1","12.35","12.35","12.35","20","Arroyo Morotí","10","14","13.15","90BLB","POINT (-75.4641766513851 10.2675296600525)"
"ANI","0.8","0.8","Variante de Gambote","11","575","1.998","2012.04.18","1","19.52","19.52","19.52","21","Arroyo Grande","10","14","12","90BLB","POINT (-75.4015617515437 10.2179968180374)"
"ANI","0.85","0.85","Variante de Gambote","0","156","1.998","2012.04.16","1","30.7","30.7","30.7","20","Intersección Corralito","10","14","12.1","90BLB","POINT (-75.3036189116411 10.1896396136181)"
"ANI","0","1.2","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","107","46","1.99","2012.05.12","1","30.7","10.25","10.25","14","Colegio Aleman","10","14","12.2","90A01","POINT (-74.8600321923564 11.0164297192388)"
"ANI","0","1.2","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","18","556","1.99","2012.05.12","1","30.7","30.7","30.7","14","Arroyo Carabajal","10","14","12.2","90A01","POINT (-75.4446315676542 10.6033909045313)"
"ANI","1.2","1.2","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","41","265","1.99","2012.05.12","1","20.7","20.7","20.7","32","Arroyo Bonga","10","14","12.2","90A01","POINT (-75.2904469206638 10.6961839132581)"
"ANI","1.2","1.2","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","30","186","1.99","2012.05.09","1","28.7","28.7","28.7","32","Arroyo grande","10","14","12.1","90A01","POINT (-75.3777583719145 10.6545350279905)"
"ANI","1.2","1.2","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","18","530","1.99","2012.05.08","1","30.7","30.7","30.7","32","Arroyo Carabajal","10","14","12","90A01","POINT (-75.4446692962997 10.6031589341641)"
"ANI","1.2","1.2","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","6","206","1.99","2012.05.07","3","31.1","8.3","47.8","32","Juan Polo","10","14","11.3","90A01","POINT (-75.4819948983821 10.4915244262872)"
"ANI","1.15","1.15","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","5","882","1.99","2012.05.04","3","31.1","8.5","48.1","32","El cañon","10","14","11.3","90A01","POINT (-75.4833487838381 10.4894411201657)"
"ANI","1.2","1.2","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","5","202","1.99","2012.04.26","5","31.2","8.7","111.2","32","La Boquilla","10","14","11.4","90A01","POINT (-75.4864659249871 10.4841271814711)"
"ANI","1.17","1.17","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","4","559","1.99","2012.04.22","3","15.48","7.82","31.15","20","Brazuelo","10","14","11.37","90A01","POINT (-75.4893611348828 10.4790830037956)"
"ANI","1.17","1.17","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","4","627","1.99","2012.04.20","3","31.2","8.55","48.84","32","Caño Luisa","10","14","11.37","90A01","POINT (-75.4890542195257 10.4796171393894)"
"ANI","2.1","2.1","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","0","812","2","2012.04.18","9","7.25","6.5","60","20","La Bocana","42","10","11.64","90A01","POINT (-75.5119024793854 10.4551306337928)"
"ANI","0","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","41","278","1.974","2012.06.07","1","20.7","20.7","20.7","14","41+278","10","14","12","90A01","POINT (-75.2903466031758 10.6962468651791)"
"ANI","0","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","30","205","1.974","2012.06.07","1","28.7","28.7","28.7","14","30+205","10","14","12.2","90A01","POINT (-75.3775867134312 10.6545607072899)"
"ANI","0.94","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","104","961","1.974","2012.06.07","1","11","11","11","20","Arroyo leon # 2","10","14","24.6","90A01","POINT (-74.8790231525896 11.0139299396293)"
"ANI","0.94","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","104","429","1.974","2012.02.14","1","16","16","16","20","Arroyo Leon # 1","10","14","25","90A01","POINT (-74.8838550980814 11.0133480711111)"
"INVIAS","0.94","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","81","620","1.985","2012.06.04","1","11","11","11","20","Peaje","10","14","13.7","90A01","POINT (-75.023727883581 10.9161030026517)"
"INVIAS","0.94","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","80","737","1.985","2012.06.05","1","11.7","11.7","11.7","20","Puerto Caiman","10","14","14.1","90A01","POINT (-75.0286928777763 10.9101829515829)"
"ANI","0.94","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","79","476","1.985","2012.05.31","1","13.6","13.6","13.6","20","Playa Mendoza","10","14","14","90A01","POINT (-75.0338789038043 10.9009801923351)"
"ANI","0.94","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","78","459","1.985","2012.05.31","1","21.2","21.2","21.2","20","Cajacopi","10","14","14.1","90A01","POINT (-75.040556086392 10.8941139067362)"
"INVIAS","0.94","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","77","922","1.986","2012.05.29","1","11.3","11.3","11.3","20","Turipana","10","14","14.1","90A01","POINT (-75.0448150792571 10.892010227618)"
"ANI","0.94","0.94","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","75","31","1.986","2012.06.04","3","20.1","19.9","60","20","Arroyo de Juan de Acosta","10","14","9.9","90A01","POINT (-75.0688607860645 10.8837696330517)"
"INVIAS","0.95","0.95","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","66","218","1.986","2012.05.25","2","19.8","19.8","39.6","20","Arroyo Cascabel","10","14","10.2","90A01","POINT (-75.1353086568631 10.8451854708751)"
"INVIAS","0.95","0.95","Cartagena - Lomita Arena - Barranquilla y Accesos pte Olaya","47","82","1.989","2012.05.23","4","20.2","7.9","56.2","20","Cienaga del Totumo","10","14","9.9","90A01","POINT (-75.2605527532936 10.7388432329278)"
"ANI","0","0","Riohacha - Paraguachón","87","302","1.959","2012.05.09","1","21.8","21.8","21.8","20","Paraguachon","10","14","8.4","9010","POINT (-72.1318228310498 11.3606588895229)"
"ANI","0","0","Riohacha - Paraguachón","73","28","1.96","2012.05.09","1","21.2","21.2","21.2","20","Arroyo Parrantial","10","13","9.1","9010","POINT (-72.2593318292016 11.3812061782495)"
"ANI","0","0","Riohacha - Paraguachón","67","90","1.972","2012.05.09","1","11.3","11.3","11.3","20","Los Chinitos","10","13","8.8","9010","POINT (-72.3123047623888 11.3931184740687)"
"ANI","0.45","0.45","Riohacha - Paraguachón","53","527","1.969","2012.05.08","3","20.8","11.1","43","20","Yuna","21","12","9.45","9010","POINT (-72.4322992127947 11.4236597664009)"
"ANI","0","0","Riohacha - Paraguachón","41","553","1.969","2012.05.03","1","27.4","27.4","27.4","20","Ushuru","10","13","9.1","9010","POINT (-72.5389960977384 11.4439990804378)"
"ANI","0","0","Riohacha - Paraguachón","33","31","1.956","2012.04.03","1","20","5.5","20","20","Parrantial","20","14","8.8","9010","POINT (-72.6150362541379 11.4611483291685)"
"ANI","0.44","0.44","Riohacha - Paraguachón","5","186","1.956","2012.04.03","5","20.5","5.5","61.5","20","Rancheria","21","12","9.45","9010","POINT (-72.8560560500563 11.5109344155192)"
"ANI","0.45","0.45","Río Palomino - Riohacha","84","960","1.971","2012.05.15","3","13.5","13","39.9","20","Guerrero","10","13","9.4","9009","POINT (-72.9751727774143 11.5064826185113)"
"ANI","0","0","Río Palomino - Riohacha","79","871","1.969","2012.05.15","1","11.1","11.1","11.1","20","Arroyo de las Mulas","10","14","10.5","9009","POINT (-73.0123893144239 11.4799854844622)"
"ANI","0","0","Río Palomino - Riohacha","75","879","1.969","2012.05.16","1","16.9","16.9","16.9","20","El Estero","10","13","8.8","9009","POINT (-73.0364031223458 11.452929279957)"
"ANI","0","0","Río Palomino - Riohacha","70","842","1.969","2012.05.16","1","30.6","30.6","30.6","10","Camarones","10","14","9.3","9009","POINT (-73.0609817380931 11.4151993010384)"
"ANI","0","0","Río Palomino - Riohacha","70","10","1.969","2012.05.16","1","20.6","20.6","20.6","32","Pozo Redondo 2","10","14","8.8","9009","POINT (-73.063138687534 11.4081197177957)"
"ANI","0","0","Río Palomino - Riohacha","69","729","1.972","2012.05.17","1","20.5","20.5","20.5","32","Aguas Blancas (Pozo Redondo 1)","10","14","8.8","9009","POINT (-73.0643205302007 11.4058903444315)"
"ANI","0","0","Río Palomino - Riohacha","66","92","1.972","2012.05.12","1","15.4","15.4","15.4","30","Perico","10","14","8.8","9009","POINT (-73.0808924368254 11.3775595798596)"
"ANI","0","0","Río Palomino - Riohacha","54","351","1.969","2012.05.18","1","15.4","15.4","15.4","30","Guaracaca","10","14","8.9","9009","POINT (-73.1208387664088 11.2795040098529)"
"ANI","0","0","Río Palomino - Riohacha","49","672","1.969","2012.05.18","1","16.2","16.2","16.2","20","Aliviadero Puente Bomba","10","13","8.9","9009","POINT (-73.1564443492048 11.262949017937)"
"ANI","0.65","0.65","Río Palomino - Riohacha","49","450","1.973","2012.05.18","1","41.6","41.6","41.6","51","Bomba","11","14","9.2","9009","POINT (-73.1583700597645 11.2623060427784)"
"ANI","0","0","Río Palomino - Riohacha","45","1","1.972","2012.05.23","1","11","11","11","20","Matatigres","10","14","9.9","9009","POINT (-73.1945124899985 11.2441095717407)"
"ANI","0","0","Río Palomino - Riohacha","43","542","1.973","2012.05.23","3","14.2","13","41.2","20","Mariamina","10","14","9.2","9009","POINT (-73.2062039411004 11.237896154686)"
"ANI","0","0","Río Palomino - Riohacha","39","131","1.972","2012.05.23","1","21.5","21.5","21.5","20","Salamanca","10","14","9.2","9009","POINT (-73.2415699349993 11.2189725220567)"
"ANI","0","0","Río Palomino - Riohacha","37","726","1.974","2012.05.14","1","80.04","80.04","80.04","51","Jerez","11","40","8.5","9009","POINT (-73.2522327647139 11.2129494094034)"
"ANI","0","0","Río Palomino - Riohacha","33","167","1.974","2012.05.24","1","10.45","10.45","10.45","20","Sin nombre III (Palmar)","10","14","9","9009","POINT (-73.285260461376 11.2176946733589)"
"ANI","0","0","Río Palomino - Riohacha","29","908","1.974","2012.05.28","1","11","11","11","20","Sin nombre II (Arroyo Fabian)","10","14","9.8","9009","POINT (-73.3145241236138 11.2136967245528)"
"ANI","0","0","Río Palomino - Riohacha","29","424","1.974","2012.05.28","1","10.8","10.8","10.8","20","Sin nombre I","10","14","9.2","9009","POINT (-73.3189430000128 11.2140239061927)"
"ANI","0","0","Río Palomino - Riohacha","20","5","1.974","2012.05.12","1","60.6","60.6","60.6","51","Mingueo (Rio Cañas)","11","40","8.5","9009","POINT (-73.4032223683269 11.212204383276)"
"ANI","0","0","Río Palomino - Riohacha","13","222","1.972","2012.05.28","2","21.15","21.15","42.3","20","Ancho","10","14","9.2","9009","POINT (-73.4618441294506 11.2060182632713)"
"ANI","0","0","Río Palomino - Riohacha","11","71","1.972","2012.05.29","1","11","11","11","20","Arroyo Guacoche","10","14","11.7","9009","POINT (-73.4760072638612 11.2170154051981)"
"ANI","0","0","Río Palomino - Riohacha","8","510","1.972","2012.05.12","1","11","11","11","20","Sin nombre IV","10","14","12.5","9009","POINT (-73.4921725446787 11.2328606965738)"
"ANI","0","0","Río Palomino - Riohacha","7","19","1.972","2012.05.29","2","19","19","38","20","Rio Negro","10","14","8.6","9009","POINT (-73.5047691332668 11.2379209351581)"
"ANI","0.4","0.4","Río Palomino - Riohacha","3","913","1.966","2012.05.30","2","33.5","33.5","67","31","San Salvador","10","14","9.3","9009","POINT (-73.532122658032 11.2428565323296)"
"ANI","0.45","0.45","Río Palomino - Riohacha","0","7","1.968","2012.05.30","3","33.6","33.6","100.8","32","Palomino","10","10","9.2","9009","POINT (-73.5686701299551 11.2446266211735)"
"ANI","0.4","0.4","Santa Marta - Río Palomino","68","881","1.97","2012.01.24","1","30","30","30","32","Los Muchachitos","10","14","9.2","9008","POINT (-73.5919299578292 11.2621981406106)"
"ANI","0.45","0.45","Santa Marta - Río Palomino","67","749","1.969","2012.07.12","3","30","12","54","32","Los Camarones","10","13","9.2","9008","POINT (-73.6020584804367 11.2608651549558)"
"ANI","0.7","0.7","Santa Marta - Río Palomino","66","900","1.969","2012.07.17","1","28.4","28.4","28.4","32","Las Garzas","10","14","8.5","9008","POINT (-73.6098150746459 11.2595204421332)"
"ANI","0.7","0.7","Santa Marta - Río Palomino","65","764","1.968","2012.07.10","2","30.5","20.2","50.7","32","Los Achotes","10","14","11","9008","POINT (-73.6195759894518 11.2568581104635)"
"ANI","0.4","0.4","Santa Marta - Río Palomino","64","763","1.968","verificar","3","12","12","36","32","Los Coquitos","10","14","9.2","9008","POINT (-73.6283418067234 11.2575553694007)"
"ANI","0.4","0.4","Santa Marta - Río Palomino","62","332","1.971","2012.07.07","4","12","11.78","47.78","21","Jorora","10","14","9.2","9008","POINT (-73.6492527206308 11.2546683133976)"
"ANI","0.4","0.4","Santa Marta - Río Palomino","61","408","1.972","2012.07.04","1","15.4","15.4","15.4","21","Las Flores I","10","14","8.95","9008","POINT (-73.6575361536269 11.2525997733055)"
"ANI","0.4","0.4","Santa Marta - Río Palomino","61","363","1.972","2012.07.03","2","17.25","7.3","24.55","21","Las Flores II","10","14","8.95","9008","POINT (-73.657920286004 11.2524524615194)"
"ANI","0.4","0.4","Santa Marta - Río Palomino","60","508","1.969","2012.07.06","1","10.4","10.4","10.4","21","Quintana","10","14","8.9","9008","POINT (-73.6655020834511 11.2501759782393)"
"ANI","0.4","0.4","Santa Marta - Río Palomino","58","13","1.968","2012.07.05","1","31.7","31.7","31.7","32","Perico Aguado","10","14","9.2","9008","POINT (-73.6856245028044 11.2396814654464)"
"ANI","0.45","0.45","Santa Marta - Río Palomino","57","137","1.968","2012.06.30","3","61.6","39.7","147.5","30","Don Diego","31","14","9.2","9008","POINT (-73.6935955791987 11.2400063428707)"
"ANI","0.45","0.45","Santa Marta - Río Palomino","54","143","1.969","2012.06.29","1","15.4","15.4","15.4","21","Guacoche","10","14","8.9","9008","POINT (-73.7210959658035 11.2418117488453)"
"ANI","0.45","0.45","Santa Marta - Río Palomino","53","714","1.969","2012.06.26","1","20.4","20.4","20.4","21","Puerto Guardolo","10","14","8.9","9008","POINT (-73.7246923056429 11.2435559421542)"
"ANI","0.45","0.45","Santa Marta - Río Palomino","52","150","1.969","2012.06.21","1","12.4","12.4","12.4","21","Las Arepas","10","14","8.8","9008","POINT (-73.7387018337773 11.2465126346575)"
"ANI","0.45","0.45","Santa Marta - Río Palomino","50","700","1.969","2012.06.16","1","12.4","12.4","12.4","21","La Mami","10","14","8.9","9008","POINT (-73.7516676733022 11.2495496296826)"
"ANI","0.45","0.45","Santa Marta - Río Palomino","49","298","1.969","2012.06.27","3","46.2","39.7","125.9","30","Buritaca","31","14","9.2","9008","POINT (-73.7645162471406 11.249944469983)"
"ANI","0.4","0.4","Santa Marta - Río Palomino","47","522","1.968","2012.06.15","1","15.4","15.4","15.4","21","Quebrada la Maria II","10","14","8.9","9008","POINT (-73.7808156236835 11.2480113883311)"
"ANI","0.4","0.4","Santa Marta - Río Palomino","47","341","1.968","2012.06.13","1","15.4","15.4","15.4","21","Quebrada la Maria I","10","14","8.9","9008","POINT (-73.782453898695 11.2477625316298)"
"ANI","0.4","0.4","Santa Marta - Río Palomino","46","573","1.969","2012.06.12","1","10.4","10.4","10.4","21","El Tigre","10","14","8.9","9008","POINT (-73.789551315574 11.2475246125576)"
"ANI","0.4","0.4","Santa Marta - Río Palomino","44","840","1.969","2012.06.09","3","28.5","10.45","49.4","32","Quebrada Valencia","10","14","9.2","9008","POINT (-73.8054192206723 11.2477950191128)"
"ANI","0.45","0.45","Santa Marta - Río Palomino","44","19","1.969","2012.01.24","1","10.4","10.4","10.4","21","Quebrada los Muertos (El Tigre)","10","14","8.9","9008","POINT (-73.8126077773475 11.2489995647578)"
"ANI","0.45","0.45","Santa Marta - Río Palomino","43","226","1.969","2012.06.05","1","24.4","24.4","24.4","32","Rio Viejo (La Aguacatera)","10","14","8.8","9008","POINT (-73.8198871145992 11.2488438386027)"
"ANI","0.45","0.45","Santa Marta - Río Palomino","41","880","1.969","2012.06.05","1","15.5","15.5","15.5","21","Quebrada la Linea","10","14","8.9","9008","POINT (-73.831968020052 11.2481001183406)"
"ANI","0.45","0.45","Santa Marta - Río Palomino","41","3","1.967","2012.06.01","2","33.4","33.3","66.7","32","Guachaca","10","14","9.2","9008","POINT (-73.8392607556268 11.248060866751)"
"ANI","0.4","0.4","Santa Marta - Río Palomino","37","608","1.967","2012.05.29","2","30.5","30.5","61","32","Mendiguaca","11","14","9.2","9008","POINT (-73.8619840707828 11.2692042051968)"
"ANI","0.6","0.6","Santa Marta - Río Palomino","36","183","1.968","2012.05.28","1","10.9","10.9","10.9","20","Quebrada de Juan","10","14","10","9008","POINT (-73.8695006264518 11.2782896533491)"
"ANI","0.6","0.6","Santa Marta - Río Palomino","31","199","1.968","2012.05.26","1","80.5","80.5","80.5","51","Rio Piedras","11","50","8.6","9008","POINT (-73.9084473318566 11.2817955966688)"
"ANI","0.6","0.6","Santa Marta - Río Palomino","20","497","1.971","2012.05.24","1","10.9","10.9","10.9","20","Calabazo","10","14","8.52","9008","POINT (-74.00105683386 11.2846439207078)"
"ANI","0.6","0.6","Santa Marta - Río Palomino","17","309","1.971","2012.05.25","1","10.3","10.3","10.3","20","Quebrada Mejico","10","14","8.7","9008","POINT (-74.0294001126328 11.2787005897545)"
"ANI","0.6","0.6","Santa Marta - Río Palomino","14","550","1.971","2012.05.12","1","20.4","20.4","20.4","21","Kilometro 14 (Las Tinajas)","10","14","8.9","9008","POINT (-74.0527608941515 11.2732560767772)"
"ANI","0.6","0.6","Santa Marta - Río Palomino","12","225","1.97","2012.05.23","1","10.5","10.5","10.5","21","Las Tinajas","10","14","9","9008","POINT (-74.0703085208338 11.268469883019)"
"ANI","0.6","0.6","Santa Marta - Río Palomino","12","112","1.972","verificar","1","10.3","10.3","10.3","20","El Carajo","10","14","11.7","9008","POINT (-74.0713221978144 11.268674280988)"
"ANI","0.6","0.6","Santa Marta - Río Palomino","4","10","1.972","2012.05.17","4","28.5","10.8","78.6","32","Bonda","10","14","9.2","9008","POINT (-74.1295293986297 11.2391127309234)"
"ANI","0.62","0.62","Santa Marta - Río Palomino","2","589","1.971","2012.05.16","2","13.2","12.8","26","20","Quebrada Mojada","10","14","8.5","9008","POINT (-74.1413618759612 11.2330650256012)"
"ANI","0.62","0.62","Santa Marta - Río Palomino","2","69","1.971","2012.04.17","1","11.1","11.1","11.1","20","20 de Octubre (Quebrada Seca)","10","14","8.4","9008","POINT (-74.1450432726279 11.2301991969359)"
"INVIAS","0.62","0.62","Cruce Tramo 9007 - Puerto de Santa Marta","2","809","1.971","2012.05.14","1","20.2","20.2","26","21","Bastidas","10","14","10","9007A","POINT (-74.1754791375478 11.2427576521918)"
"INVIAS","0.62","0.62","Cruce Tramo 9007 - Puerto de Santa Marta","0","750","1.971","2012.05.14","1","20.2","20.2","49","21","Manzanares","10","14","10","9007A","POINT (-74.1637399865751 11.230925578789)"
"INVIAS","0.62","0.62","Barranquilla - Santa Marta y Acceso al Puente Laureano Gómez","0","0","1.971","2012.05.14","1","20.2","20.2","20.2","21","Ye del Rodadero","10","14","10","9007","POINT (-74.7700324863483 10.9496915752864)"
"Conc. Depart.","0.62","0.62","Barranquilla - Santa Marta y Acceso al Puente Laureano Gómez","78","920","1.971","2012.05.10","2","7","7","14","20","La LLanteria","10","14","12","9007","POINT (-74.2257776817775 11.1247722050338)"
"Conc. Depart.","0.62","0.62","Barranquilla - Santa Marta y Acceso al Puente Laureano Gómez","75","744","1.971","2012.05.09","1","15.1","15.1","15.1","21","Don Jaca","10","14","11.7","9007","POINT (-74.2173405109384 11.0978369082513)"
"Conc. Depart.","0.62","0.62","Barranquilla - Santa Marta y Acceso al Puente Laureano Gómez","73","537","1.973","2012.05.08","1","20.4","20.4","20.4","21","El Doctor","10","14","11.5","9007","POINT (-74.2139792239797 11.0780883255324)"
"Conc. Depart.","0.62","0.62","Barranquilla - Santa Marta y Acceso al Puente Laureano Gómez","67","710","1.971","2012.05.03","4","4.2","3.65","15.7","20","Aliviadero Cordoba","42","10","11","9007","POINT (-74.205636182572 11.0276334362134)"
"Conc. Depart.","0.62","0.62","Barranquilla - Santa Marta y Acceso al Puente Laureano Gómez","67","631","1.971","2012.05.02","3","30.8","12.4","55.6","32","Cordoba","10","14","9.25","9007","POINT (-74.2057652769477 11.0269140128541)"
"Conc. Depart.","0.89","0.89","Barranquilla - Santa Marta y Acceso al Puente Laureano Gómez","63","703","1.978","2012.04.25","3","11.4","8","27.4","21","Paso Elevado de Cienaga","10","14","11.88","9007","POINT (-74.2249542224502 11.003580290388)"
"Conc. Depart.","0.89","0.89","Barranquilla - Santa Marta y Acceso al Puente Laureano Gómez","54","51","1.97","2012.04.27","10","30.45","30","300.9","32","La Barra","10","14","10.64","9007","POINT (-74.3083764075944 10.982215255671)"
"INVIAS","2.26","2.26","Barranquilla - Santa Marta y Acceso al Puente Laureano Gómez","1","900","1.97","2012.08.27","19","47.3","45.75","886.85","32","Laureano Gomez (3ra. seccion Acceso Palermo)","10","13","12.52","9007","POINT (-74.7562145997271 10.9507087637431)"
"INVIAS","2.26","2.26","Barranquilla - Santa Marta y Acceso al Puente Laureano Gómez","1","642","1.97","2012.07.25","3","147.7","66.3","280.3","32","Laureano Gomez (2da. Seccion Atirantado)","60","30","12.52","9007","POINT (-74.7585743900006 10.9506664582609)"
"INVIAS","2.26","2.26","Barranquilla - Santa Marta y Acceso al Puente Laureano Gómez","1","278","1.97","2012.07.23","7","47.1","45.8","327.9","32","Laureano Gomez (1era seccion, Acceso  Barranquilla )","10","13","12.52","9007","POINT (-74.7619037990856 10.9506114557966)"
"ANI","1.6","2.7","Cartagena - Sabanalarga - Barranquilla y Acceso al Puente La","71","230","2.012","2012.05.16","4","3","3","12","20","San Blas","42","10","13.6","9006","POINT (-74.9764199162751 10.648348464342)"
"ANI","2.7","2.4","Cartagena - Sabanalarga - Barranquilla y Acceso al Puente La","71","230","2.012","2012.05.16","4","3","3","12","20","San Blas","42","10","16.15","9006","POINT (-74.9764199162751 10.648348464342)"
"ANI","0","0","Cartagena - Sabanalarga - Barranquilla y Acceso al Puente La","64","520","2.012","2012.05.16","3","12","9","34","20","Molineros","10","14","10.45","9006","POINT (-75.035721545424 10.6562645538288)"
"ANI","0","0","Cartagena - Sabanalarga - Barranquilla y Acceso al Puente La","59","765","2.012","2012.05.16","1","0","2","10.7","20","59+765","42","10","2.6","9006","POINT (-75.0773172964311 10.6468809618158)"
"ANI","0","0","Cartagena - Sabanalarga - Barranquilla y Acceso al Puente La","59","225","2.012","2012.05.16","1","0","3.5","10.3","20","59+225","42","10","4","9006","POINT (-75.0819881610501 10.6453066603937)"
"ANI","0","0","Cartagena - Sabanalarga - Barranquilla y Acceso al Puente La","55","470","2.011","2012.05.16","2","0","1.5","19","20","55+470","42","10","3.6","9006","POINT (-75.1054270747452 10.6244717427679)"
"ANI","0","0","Cartagena - Sabanalarga - Barranquilla y Acceso al Puente La","55","90","2.011","2012.05.16","1","0","2","16.1","20","55+090","42","10","2.4","9006","POINT (-75.106440194676 10.6211863504404)"
"ANI","0","0","Cartagena - Sabanalarga - Barranquilla y Acceso al Puente La","54","905","2.011","2012.05.16","1","0","2","14.1","20","54+905","42","10","2.4","9006","POINT (-75.1069846096983 10.619436769302)"
"ANI","0","0","Cartagena - Sabanalarga - Barranquilla y Acceso al Puente La","54","835","2.011","2012.05.16","1","0","2","16","20","54+835","42","10","2.4","9006","POINT (-75.1071722586146 10.6188318694804)"
"ANI","0.7","0.7","Cartagena - Sabanalarga - Barranquilla y Acceso al Puente La","49","430","1.982","2012.05.16","1","0","8","12.6","20","49+430","10","14","9.2","9006","POINT (-75.1445427796309 10.6108443384154)"
